Id,SalePrice
1461,129174.914
1462,167044.58
1463,179862.19
1464,200240.45
1465,197055.17
1466,171855.44
1467,173420.19
1468,167044.58
1469,192627.19
1470,122494.53
1471,200470.7
1472,100896.28
1473,97532.79
1474,147102.75
1475,122494.53
1476,361920.94
1477,252320.27
1478,290338.4
1479,296737.88
1480,424030.66
1481,328211.0
1482,210975.19
1483,177168.1
1484,168061.66
1485,186635.84
1486,197055.17
1487,332418.6
1488,234847.83
1489,197055.17
1490,226173.58
1491,197055.17
1492,93701.64
1493,174084.81
1494,297661.3
1495,290338.4
1496,234847.83
1497,186635.84
1498,171855.44
1499,167044.58
1500,164274.19
1501,179862.19
1502,154967.38
1503,275002.72
1504,246959.72
1505,220371.14
1506,192627.19
1507,246959.72
1508,200695.84
1509,167044.58
1510,150420.4
1511,150420.4
1512,174084.81
1513,145851.11
1514,164274.19
1515,197055.17
1516,164274.19
1517,167044.58
1518,135652.83
1519,219944.28
1520,135652.83
1521,140181.36
1522,173848.23
1523,116747.25
1524,129174.914
1525,128365.875
1526,119791.77
1527,108390.805
1528,138074.52
1529,154823.8
1530,186635.84
1531,114287.09
1532,98356.734
1533,155171.17
1534,128744.09
1535,150602.12
1536,117767.43
1537,57485.137
1538,167044.58
1539,200240.45
1540,97532.79
1541,145851.11
1542,140181.36
1543,202008.92
1544,76613.97
1545,118825.42
1546,134154.14
1547,138362.0
1548,141597.14
1549,126918.64
1550,141597.14
1551,109601.89
1552,143351.27
1553,155346.78
1554,118825.42
1555,164274.19
1556,92925.91
1557,108390.805
1558,97532.79
1559,80795.61
1560,143848.11
1561,132544.8
1562,133438.83
1563,126918.64
1564,164274.19
1565,145851.11
1566,234847.83
1567,79108.43
1568,226173.58
1569,140181.36
1570,138362.0
1571,126918.64
1572,145851.11
1573,246959.72
1574,122494.53
1575,227912.5
1576,246959.72
1577,179862.19
1578,150602.12
1579,145851.11
1580,197055.17
1581,155243.69
1582,128365.875
1583,309828.94
1584,224626.31
1585,145851.11
1586,74227.88
1587,100930.92
1588,147102.75
1589,97532.79
1590,133438.83
1591,101504.305
1592,112595.41
1593,128365.875
1594,133438.83
1595,117767.43
1596,226173.58
1597,190870.4
1598,219944.28
1599,173848.23
1600,171855.44
1601,77200.58
1602,120335.77
1603,83703.39
1604,269854.75
1605,253268.94
1606,168061.66
1607,174084.81
1608,202008.92
1609,175071.78
1610,154823.8
1611,141597.14
1612,167044.58
1613,167044.58
1614,127306.07
1615,93774.234
1616,82832.18
1617,93774.234
1618,129174.914
1619,145851.11
1620,168878.0
1621,143351.27
1622,144541.33
1623,269854.75
1624,220371.14
1625,126918.64
1626,164274.19
1627,192627.19
1628,292385.72
1629,174084.81
1630,358535.72
1631,214059.61
1632,244803.58
1633,168743.08
1634,186635.84
1635,178073.5
1636,154967.38
1637,192627.19
1638,186635.84
1639,179862.19
1640,267832.12
1641,174084.81
1642,234847.83
1643,223311.44
1644,241116.75
1645,200952.88
1646,155243.69
1647,155346.78
1648,132544.8
1649,145851.11
1650,111931.51
1651,120335.77
1652,97130.86
1653,101504.305
1654,145851.11
1655,144471.03
1656,145851.11
1657,147102.75
1658,145851.11
1659,129174.914
1660,155243.69
1661,424030.66
1662,405037.12
1663,363018.8
1664,424030.66
1665,297661.3
1666,336853.88
1667,371956.62
1668,318115.72
1669,297661.3
1670,324905.2
1671,267832.12
1672,424030.66
1673,297661.3
1674,244803.58
1675,197055.17
1676,196829.61
1677,215716.08
1678,424030.66
1679,402181.47
1680,311361.5
1681,220371.14
1682,309828.94
1683,179436.61
1684,173848.23
1685,173848.23
